trial,respColour,colour,err_colour,err_colour_z,cue,respMem_1,sens_Resp,err_1,confMem_1,zconfMem_1,err1_cal,respMem_2,correctMem_2,err_2,confMem_2,zconfMem_2,err2_cal,response_1,correct_1,conf_1,zconf_1,subID,conf,zconf,errDiff,errDiff_cal,errDiff_cal_abs,cue_category,colour_name,lbound,ubound,colour_ans,cueID,colourCal,colourCue
213,25,261,50,0.212139906065424,46,221,311,40,65,1.92756943629059,90,222,0,39,40,-0.028748828326088,89,1,0,1,-1.28247533724988,49,5,-0.0345032779671176,-1,-1,1,forest,261,256.5,265.5,29,29,28,28
214,12,81,37,-0.024075835163742,6,107,44,26,53,1.04555482292597,63,73,1,8,26,-0.795384250355104,29,2,1,5,1.41747274117093,49,6,0.655562281375236,-18,-34,34,mountain,81,76.5,85.5,9,6,8,8
215,21,198,6,-0.587359525787139,53,193,192,5,41,0.163540209561356,1,196,1,2,31,-0.521585885344741,4,2,0,5,1.41747274117093,49,5,-0.0345032779671176,-3,3,3,sea,198,193.5,202.5,22,33,21,21
216,4,225,40,0.0304354897352964,9,38,185,173,34,-0.350968314901336,147,56,0,169,24,-0.904903596359249,129,2,1,1,-1.28247533724988,49,1,-2.79476551533653,-4,-18,18,mountain,225,220.5,229.5,25,8,24,24
217,6,45,7,-0.569189084154126,41,50,52,5,38,-0.056963443779798,2,36,1,9,24,-0.904903596359249,16,1,1,4,0.742485721565723,49,6,0.655562281375236,4,14,14,forest,45,40.5,49.5,5,26,4,4
218,6,27,30,-0.151268926594832,26,56,57,29,63,1.78056700072982,1,38,1,11,55,0.792646266705001,19,1,0,2,-0.607488317644682,49,5,-0.0345032779671176,-18,18,18,town,27,22.5,31.5,3,16,2,2
219,26,234,53,0.266651230964463,21,238,181,4,44,0.38404386290251,57,244,1,10,34,-0.357306866338523,63,1,0,4,0.742485721565723,49,6,0.655562281375236,6,6,6,city,234,229.5,238.5,26,14,25,25
220,5,171,13,-0.460166434356049,28,48,184,123,42,0.23704142734174,136,180,1,9,25,-0.850143923357177,4,1,0,2,-0.607488317644682,49,6,0.655562281375236,-114,-132,132,town,171,166.5,175.5,19,18,18,18
221,26,252,42,0.066776373001322,36,236,294,16,37,-0.130464661560183,58,216,0,36,38,-0.138268174330233,78,2,1,4,0.742485721565723,49,6,0.655562281375236,20,20,20,school,252,247.5,256.5,28,24,27,27
222,37,351,46,0.139458139533373,60,330,305,21,44,0.38404386290251,25,338,1,13,37,-0.193027847332306,33,2,1,2,-0.607488317644682,49,5,-0.0345032779671176,-8,8,8,desert,351,346.5,355.5,39,40,38,38
223,25,189,26,-0.223950693126883,45,221,163,32,85,3.39759379189828,58,199,1,10,45,0.245049536684275,36,2,0,5,1.41747274117093,49,5,-0.0345032779671176,-22,-22,22,forest,189,184.5,193.5,21,28,20,20
224,16,117,67,0.521037413826642,44,141,50,24,40,0.0900389917809712,91,110,1,7,37,-0.193027847332306,60,1,1,4,0.742485721565723,49,6,0.655562281375236,-17,-31,31,forest,117,112.5,121.5,13,27,12,12
225,1,18,36,-0.0422462767967548,17,5,54,13,34,-0.350968314901336,49,1,0,17,39,-0.0835085013281606,53,2,0,3,0.0674987019605203,49,6,0.655562281375236,4,4,4,city,18,13.5,22.5,2,11,1,1
226,32,297,2,-0.66004129231919,11,288,299,9,24,-1.08598049270518,11,330,0,33,24,-0.904903596359249,31,2,0,3,0.0674987019605203,49,5,-0.0345032779671176,24,20,20,mountain,297,292.5,301.5,33,9,32,32
